identity,vlan,cidr,network,prefix,gateway,pool,pool_start,pool_end,first_usable,last_usable,broadcast
EWT_P01,1466,192.168.158.32/27,192.168.158.32,27,192.168.158.33,192.168.158.34-192.168.158.62,192.168.158.34,192.168.158.62,192.168.158.33,192.168.158.62,192.168.158.63
EWT_P03,1467,192.168.158.64/27,192.168.158.64,27,192.168.158.65,192.168.158.66-192.168.158.94,192.168.158.66,192.168.158.94,192.168.158.65,192.168.158.94,192.168.158.95
EWT_P04,1468,192.168.158.96/27,192.168.158.96,27,192.168.158.97,192.168.158.98-192.168.158.126,192.168.158.98,192.168.158.126,192.168.158.97,192.168.158.126,192.168.158.127
EWT_P06,1469,192.168.158.128/27,192.168.158.128,27,192.168.158.129,192.168.158.130-192.168.158.158,192.168.158.130,192.168.158.158,192.168.158.129,192.168.158.158,192.168.158.159
EWT_P07,1470,192.168.158.160/27,192.168.158.160,27,192.168.158.161,192.168.158.162-192.168.158.190,192.168.158.162,192.168.158.190,192.168.158.161,192.168.158.190,192.168.158.191
EWT_P08,1471,192.168.158.192/27,192.168.158.192,27,192.168.158.193,192.168.158.194-192.168.158.222,192.168.158.194,192.168.158.222,192.168.158.193,192.168.158.222,192.168.158.223
EWT_P09,1472,192.168.158.224/27,192.168.158.224,27,192.168.158.225,192.168.158.226-192.168.158.254,192.168.158.226,192.168.158.254,192.168.158.225,192.168.158.254,192.168.158.255
EWT_P10,1473,192.168.159.0/27,192.168.159.0,27,192.168.159.1,192.168.159.2-192.168.159.30,192.168.159.2,192.168.159.30,192.168.159.1,192.168.159.30,192.168.159.31
EWT_P11,1474,192.168.159.32/27,192.168.159.32,27,192.168.159.33,192.168.159.34-192.168.159.62,192.168.159.34,192.168.159.62,192.168.159.33,192.168.159.62,192.168.159.63
EWT_P12,1475,192.168.159.64/27,192.168.159.64,27,192.168.159.65,192.168.159.66-192.168.159.94,192.168.159.66,192.168.159.94,192.168.159.65,192.168.159.94,192.168.159.95
EWT_P13,1476,192.168.159.96/27,192.168.159.96,27,192.168.159.97,192.168.159.98-192.168.159.126,192.168.159.98,192.168.159.126,192.168.159.97,192.168.159.126,192.168.159.127
EWT_P14,1477,192.168.159.128/27,192.168.159.128,27,192.168.159.129,192.168.159.130-192.168.159.158,192.168.159.130,192.168.159.158,192.168.159.129,192.168.159.158,192.168.159.159
